grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Abies fabri,NA,NA,NA,NA,3,NA,NA,NA
Abies grandis,125.2418,NA,6.5339,NA,3,NA,NA,NA
Abies sachalinensis,41.2396,NA,6.0165,NA,3,NA,NA,NA
Acacia auriculiformis,59.0069,10.7877,2.1016,8773.4621,3,25,53.7457,0.8588
Acacia catechu,NA,NA,NA,NA,3,NA,NA,NA
Acacia confusa,NA,NA,NA,NA,3,NA,NA,NA
Acacia crassicarpa,22.7377,7.1411,0.4837,0.1263,3,25,7.5272,0.5993
Acacia dealbata,NA,NA,NA,NA,3,NA,NA,NA
Acacia farnesiana,NA,NA,NA,NA,3,NA,NA,NA
Acacia mangium,80.0645,8.9064,0.3464,0.0346,3,25,24.5251,0.4031
Acacia mearnsii,40.4545,7.7603,0.3959,0.0982,3,25,15.2977,0.5107
Acacia nilotica,66.7495,19.9337,0.4935,0,3,NA,NA,NA
Acacia polystachya,NA,NA,NA,NA,3,NA,NA,NA
Aegiceras corniculatum,NA,NA,NA,NA,3,NA,NA,NA
Ailanthus triphysa,NA,NA,NA,NA,3,NA,NA,NA
Albizia falcata,104.3341,1.5496,0.3128,0.0075,3,25,14.8653,0.2201
Albizia guachapele,NA,NA,NA,NA,3,NA,NA,NA
Albizia procera,NA,NA,NA,NA,3,NA,NA,NA
Alnus cremastogyne,39.3011,2.7179,0.2775,0.0429,3,18,9.8896,0.433
Alnus formosana,NA,NA,NA,NA,3,NA,NA,NA
Alnus glutinosa,44.0632,NA,4.365,NA,3,25,30.0384,0.607
Alnus incana,61.3483,4.1681,0.1304,0.0093,3,NA,NA,NA
Alnus japonica,42.1898,NA,4.5379,NA,3,25,16.8274,0.4006
Alnus nepalensis,NA,NA,NA,NA,3,NA,NA,NA
Alnus rubra,NA,NA,NA,NA,3,NA,NA,NA
Anacardium excelsum,NA,NA,NA,NA,3,NA,NA,NA
Araucaria cunninghamii,63.017,NA,6.7015,NA,3,NA,NA,NA
Artocarpus heterophyllus,NA,NA,NA,NA,3,NA,NA,NA
Artocarpus hirsutus,NA,NA,NA,NA,3,NA,NA,NA
Balizia elegans,NA,NA,NA,NA,3,NA,NA,NA
Betula alba,NA,NA,NA,NA,3,NA,NA,NA
Betula alnoides,NA,NA,NA,NA,3,NA,NA,NA
"Betula pendula, B. pubescens",46.8542,NA,3.556,NA,3,25,22.1075,0.4054
Bischofia javanica,NA,NA,NA,NA,3,NA,NA,NA
Butea monosperma,NA,NA,NA,NA,3,NA,NA,NA
Calophyllum brasiliense,72.8208,0.948,0.241,0.0105,3,25,11.8545,0.2012
Camellia oleifera,NA,NA,NA,NA,3,NA,NA,NA
Castanea sativa,29.929,10.6693,1.3983,104283.4242,3,NA,NA,NA
Castanopsis fissa,197.5659,19.9313,0.0861,0.0069,3,NA,NA,NA
Castanopsis hystrix,44.6104,0.5981,0.1137,0.0029,3,NA,NA,NA
Castanopsis kawakamii,107.7518,NA,3.0704,NA,3,NA,NA,NA
Castanopsis sclerophylla,NA,NA,NA,NA,3,NA,NA,NA
Casuarina equisetifolia,106.6297,35.4297,0.2068,0.0404,3,25,37.7208,1.373
Cedrela odorata,NA,NA,NA,NA,3,NA,NA,NA
Cedrus libani,NA,NA,NA,NA,3,NA,NA,NA
Chamaecyparis lawsoniana,NA,NA,NA,NA,3,NA,NA,NA
Chamaecyparis obtusa,102.8605,10.6395,0.0674,0.0059,3,25,25.0826,0.3299
Chukrasia tabularis,NA,NA,NA,NA,3,NA,NA,NA
Cinnamomum bodinieri,NA,NA,NA,NA,3,NA,NA,NA
Cinnamomum camphora,53.7909,NA,2.1795,NA,3,NA,NA,NA
Cordia alliodora,NA,NA,NA,NA,3,NA,NA,NA
Corymbia citriodora,NA,NA,NA,NA,3,NA,NA,NA
Corymbia maculata,NA,NA,NA,NA,3,NA,NA,NA
Corymbia torelliana,NA,NA,NA,NA,3,NA,NA,NA
Cryptomeria fortunei,36.8394,NA,6.9229,NA,3,NA,NA,NA
Cryptomeria japonica,123.5626,12.5085,0.0756,0.0069,3,25,33.502,0.4623
Cunninghamia konishii,NA,NA,NA,NA,3,NA,NA,NA
Cunninghamia lanceolata,109.0418,10.1257,0.0615,0.0033,3,25,33.4898,0.7782
Cupressus arizonica,NA,NA,NA,NA,3,NA,NA,NA
Cupressus funebris,28.9216,NA,5.7817,NA,3,25,14.6804,0.6333
Cupressus lusitanica,126.3559,NA,4.7396,NA,3,NA,NA,NA
Cyclobalanopsis chungii,NA,NA,NA,NA,3,NA,NA,NA
Dalbergia nigra,NA,NA,NA,NA,3,NA,NA,NA
Dalbergia retusa,NA,NA,NA,NA,3,NA,NA,NA
Dalbergia sissoo,119.4002,52.5807,0.2512,0.0257,3,25,99.7003,1.7045
Dipterocarpus turbinatus,NA,NA,NA,NA,3,NA,NA,NA
Dipteryx oleifera,44.4744,9.331,6.9066,61600690.07,3,25,22.7577,0.4772
Elaeagnus angustifolia,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus camaldulensis,84.8935,NA,6.9059,NA,3,25,90.8794,1.0555
Eucalyptus citriodora,74.006,NA,3.7237,NA,3,NA,NA,NA
Eucalyptus cloeziana,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus clone,97.6527,9.7869,0.3757,0.026,3,25,10.4944,0.313
Eucalyptus dunnii,135.1348,NA,59.9744,NA,3,NA,NA,NA
Eucalyptus exserta,33.0531,7.118,0.3282,0.1439,3,25,19.0063,0.9141
Eucalyptus globulus,114.2721,28.2829,0.1966,0.0318,3,25,22.2535,0.6036
Eucalyptus grandis,147.2588,24.8748,0.2981,0.0716,3,25,43.8275,0.636
Eucalyptus grandis x urophylla,29.7476,NA,29.0921,NA,3,NA,NA,NA
Eucalyptus nitens,79.4271,NA,12.2385,NA,3,18,34.4856,0.5586
Eucalyptus pellita,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus PF1,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus pilularis,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus robusta,20.7594,2.5619,7.0847,56825888.0256,3,18,7.4903,0.372
Eucalyptus saligna,119.8381,26.161,0.4557,0.0473,3,25,57.8026,1.1519
Eucalyptus spp.,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus tereticornis,93.4337,17.0475,0.2466,0.0482,3,25,28.6344,0.5869
Eucalyptus urophylla,125.7063,30.9231,0.2228,0.0258,3,25,46.1449,0.7208
Eucalyptus urophylla Clone U6,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus urophylla Clone W5,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus urophylla x grandis,72.0273,12.21,0.3225,0.0634,3,25,17.5041,0.4601
Evodia glabrifolia,22.3226,NA,7.1727,NA,3,25,9.747,0.4271
Fagus crenata,NA,NA,NA,NA,3,NA,NA,NA
Fagus sylvatica,30.3367,NA,2.1602,NA,3,18,27.6321,1.1576
Fokienia hodginsii,98.8985,22.532,0.0892,0.0343,3,25,22.7313,0.3168
Fraxinus excelsior,17.1312,NA,3.3593,NA,3,NA,NA,NA
Fraxinus mandschurica,82.132,NA,6.0386,NA,3,25,12.5233,0.1487
Gmelina arborea,205.3906,10.54,0.1161,0.0148,3,25,22.0496,0.2015
Hieronyma alchorneoides,34.0493,NA,12.1045,NA,3,25,23.323,0.7387
Jacaranda copaia,20.4137,3.2639,6.4789,8508827.7495,3,NA,NA,NA
Kandelia candel,NA,NA,NA,NA,3,NA,NA,NA
Lagerstroemia speciosa,NA,NA,NA,NA,3,NA,NA,NA
Larix decidua,56.967,NA,2.674,NA,3,NA,NA,NA
"Larix decidua, L. sukaczewii",48.477,NA,2.2962,NA,3,25,12.2614,0.2722
Larix eurolepis,NA,NA,NA,NA,3,NA,NA,NA
