grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Larix gmelinii,78.3083,11.9058,0.1005,0.0252,3,25,32.8841,0.8188
Larix gmelinii var. principis-rupprechtii,NA,NA,NA,NA,3,NA,NA,NA
Larix gmelinii var. Principis-rupprechtii,NA,NA,NA,NA,3,NA,NA,NA
Larix kaempferi,53.6765,8.6983,0.1155,0.0232,3,25,17.1715,0.4011
Larix olgensis,NA,NA,NA,NA,3,NA,NA,NA
Larix potaninii,NA,NA,NA,NA,3,NA,NA,NA
Larix sibirica,170.8611,19.5935,0.0425,0.0039,3,25,28.5274,0.3538
Leucaena leucocephala,33.2059,10.6357,3.4588,7406.5611,3,25,25.9946,0.674
Lindera communis,NA,NA,NA,NA,3,NA,NA,NA
Liquidambar styraciflua,NA,NA,NA,NA,3,NA,NA,NA
Liriodendron chinense,34.6952,NA,6.1998,NA,3,25,27.794,1.2311
Maesopsis eminii,NA,NA,NA,NA,3,NA,NA,NA
Metasequoia glyptostroboides,133.5236,28.292,0.083,0.0141,3,25,31.6988,0.5341
Michelia macclurei,33.1144,NA,2.6475,NA,3,25,29.3645,0.8509
Morus alba,NA,NA,NA,NA,3,NA,NA,NA
Mytilaria laosensis,NA,NA,NA,NA,3,NA,NA,NA
Nothofagus obliqua,NA,NA,NA,NA,3,NA,NA,NA
Ormosia xylocarpa,NA,NA,NA,NA,3,NA,NA,NA
Pachira quinata,NA,NA,NA,NA,3,NA,NA,NA
Paulownia fortunei,25.8829,NA,11.0482,NA,3,25,3.2744,0.1266
Paulownia tomentosa,NA,NA,NA,NA,3,NA,NA,NA
Phellodendron chinense,NA,NA,NA,NA,3,NA,NA,NA
Phoebe bournei,NA,NA,NA,NA,3,NA,NA,NA
Phoebe zhennan,NA,NA,NA,NA,3,NA,NA,NA
Phyllanthus emblica,NA,NA,NA,NA,3,NA,NA,NA
Phyllostachys heteroclada,NA,NA,NA,NA,3,NA,NA,NA
Picea abies,148.3245,23.1043,0.044,0.0067,3,25,38.0187,0.5569
Picea asperata,21.4571,NA,3.3533,NA,3,25,15.4285,0.6796
Picea crassifolia,NA,NA,NA,NA,3,NA,NA,NA
Picea glauca,NA,NA,NA,NA,3,NA,NA,NA
Picea koraiensis,NA,NA,NA,NA,3,NA,NA,NA
"Picea koraiensis, P. glehnii",101.1978,NA,3.9871,NA,3,NA,NA,NA
Picea likiangensis,NA,NA,NA,NA,3,NA,NA,NA
Picea mariana,NA,NA,NA,NA,3,NA,NA,NA
Picea obovata,102.5222,43.7887,0.035,0.0088,3,25,12.483,0.9942
Picea omorika,NA,NA,NA,NA,3,NA,NA,NA
Picea sitchensis,278.9507,49.8724,0.0433,0.0041,3,25,35.7057,0.7431
Pinus armandii,31.258,NA,1.8355,NA,3,25,11.7279,0.409
Pinus banksiana,NA,NA,NA,NA,3,NA,NA,NA
Pinus brutia,124.4261,104.6871,0.0387,0.027,3,25,23.2104,1.6616
Pinus caribaea,130.1599,30.1765,0.1246,0.0303,3,25,40.6784,0.4958
Pinus contorta,41.2153,NA,6.9093,NA,3,NA,NA,NA
Pinus densiflora,NA,NA,NA,NA,3,NA,NA,NA
Pinus elliottii,103.0592,20.1667,0.0953,0.0241,3,25,22.7815,0.5025
Pinus halepensis,17.8915,3.5076,0.0947,0.0148,3,25,7.5935,1.1124
Pinus henryi,NA,NA,NA,NA,3,NA,NA,NA
Pinus kesiya,179.7131,36.8315,0.0696,0.0064,3,NA,NA,NA
Pinus koraiensis,97.3081,11.6899,0.0521,0.0046,3,25,15.3192,0.4003
Pinus kwangtungensis,NA,NA,NA,NA,3,NA,NA,NA
Pinus massoniana,52.1209,5.9165,0.1035,0.0116,3,25,21.2578,0.5675
Pinus nigra,91.3657,14.1704,0.0648,0.0099,3,25,21.9664,0.684
Pinus oocarpa,NA,NA,NA,NA,3,NA,NA,NA
Pinus palustris,NA,NA,NA,NA,3,NA,NA,NA
Pinus patula,103.9479,17.2696,0.069,0.0129,3,NA,NA,NA
Pinus pinaster,437.24,197.6251,0.0399,0.0087,3,NA,NA,NA
Pinus ponderosa,163.457,52.4409,0.0929,0.0306,3,25,48.0811,0.6028
Pinus pseudostrobus,NA,NA,NA,NA,3,NA,NA,NA
Pinus radiata,181.1648,25.3535,0.0687,0.0112,3,25,25.6262,0.5391
Pinus resinosa,100.6342,11.8932,0.0778,0.0079,3,25,20.9475,0.2605
Pinus sibirica,38.5307,19.9019,0.0699,0.0248,3,25,13.0687,1.2952
Pinus strobus,NA,NA,NA,NA,3,NA,NA,NA
Pinus sylvestris,82.4379,3.3699,0.0605,0.0027,3,25,17.532,0.4353
Pinus sylvestris var. mongolica,42.3554,12.6733,0.0793,0.0183,3,25,4.4775,0.3086
Pinus sylvestris var. sylvestriformis,44.6994,NA,3.9176,NA,3,NA,NA,NA
Pinus tabuliformis,91.747,17.2661,0.0486,0.0061,3,25,13.876,0.4122
Pinus taeda,150.7165,18.0589,0.0878,0.0066,3,25,19.3423,0.4218
Pinus taiwanensis,31.4264,NA,3.6302,NA,3,25,30.139,0.8656
Pinus tecunumanii,NA,NA,NA,NA,3,NA,NA,NA
Pinus thunbergii,20.8074,NA,4.9638,NA,3,25,13.5182,0.7686
Platycladus orientalis,13.1853,NA,10.5253,NA,3,25,4.3934,0.3237
Populus alba,54.2131,NA,5.4834,NA,3,25,46.9286,0.8829
Populus canadensis,NA,NA,NA,NA,3,NA,NA,NA
Populus clone,NA,NA,NA,NA,3,NA,NA,NA
Populus deltoides,101.921,16.1972,0.2433,0.0338,3,NA,NA,NA
Populus euphratica,91.1373,58.6252,0.2364,0.0305,3,NA,NA,NA
Populus hybrid,NA,NA,NA,NA,3,NA,NA,NA
Populus nigra,NA,NA,NA,NA,3,NA,NA,NA
Populus nigra var. thevestina,NA,NA,NA,NA,3,NA,NA,NA
Populus nigra x maximowiczii,NA,NA,NA,NA,3,NA,NA,NA
Populus pruinosa,47.7113,16.9013,0.1299,0.086,3,NA,NA,NA
Populus pseudosimonii,65.8947,NA,3.2981,NA,3,25,49.16,0.6277
Populus simonii,47.5086,NA,2.5558,NA,3,25,21.9669,0.5198
Populus spp.,69.4798,5.4666,0.2195,0.0355,3,25,21.1203,0.6166
Populus szechuanica var tibetica,NA,NA,NA,NA,3,NA,NA,NA
Populus tomentosa,51.3976,9.6698,1.9242,144327.7448,3,25,13.9459,0.2298
Populus tremula var. davidiana,NA,NA,NA,NA,3,NA,NA,NA
Populus trichocarpa,40.9596,13.7969,0.3794,0.113,3,NA,NA,NA
Populus x beijingensis,21.167,2.4671,2.0937,2587.8914,3,NA,NA,NA
Populus x canadensis,348.3352,14.0036,0.1143,0.0144,3,25,34.882,0.5677
Populus x canescens,84.5654,NA,10.7857,NA,3,25,64.8433,0.794
Populus x xiaozhuanica,NA,NA,NA,NA,3,NA,NA,NA
Prunus sibirica,NA,NA,NA,NA,3,NA,NA,NA
Pseudolarix amabilis,27.9529,NA,13.8946,NA,3,NA,NA,NA
Pseudotsuga menziesii,216.16,19.8574,0.0499,0.0039,3,25,38.0488,0.4825
Pterocarpus marsupium,NA,NA,NA,NA,3,NA,NA,NA
Pterocarya stenoptera,54.3348,NA,5.2104,NA,3,NA,NA,NA
Quercus acutissima,12.722,NA,6.4909,NA,3,25,7.7754,0.6033
Quercus aliena var. acutiserrata,112.252,NA,2.4047,NA,3,NA,NA,NA
Quercus cerris,114.9571,NA,3.576,NA,3,NA,NA,NA
Quercus glauca,NA,NA,NA,NA,3,NA,NA,NA
Quercus petraea,27.9215,NA,5.5151,NA,3,NA,NA,NA
Quercus robur,153.8608,43.8987,0.0429,0.0077,3,25,25.1539,0.5858
Quercus rubra,65.9549,NA,4.5482,NA,3,NA,NA,NA
Quercus serrata,NA,NA,NA,NA,3,NA,NA,NA
Quercus spp.,40.6266,NA,3.9857,NA,3,NA,NA,NA
Quercus variabilis,21.7666,NA,17.2726,NA,3,25,7.0295,0.3415
Robinia pseudoacacia,49.8501,5.8567,0.1897,0.0325,3,25,25.4633,0.6724
Sabina przewalskii,NA,NA,NA,NA,3,NA,NA,NA
Salix matsudana,38.6906,8.3899,1.864,3079.1303,3,25,12.9389,0.3026
Sassafras tzumu,47.6583,10.8001,0.2048,0.0777,3,25,17.8973,0.6521
Schima superba,NA,NA,NA,NA,3,NA,NA,NA
Shorea robusta,245.2745,99.426,0.0544,0.02,3,NA,NA,NA
Sloanea sinensis,NA,NA,NA,NA,3,NA,NA,NA
Sonneratia apetala,12.8209,3.513,0.3319,0.1488,3,NA,NA,NA
Sonneratia caseolaris,14.3072,9.4194,7.3897,383705.154,3,NA,NA,NA
Stryphnodendron microstachyum,NA,NA,NA,NA,3,NA,NA,NA
Swietenia macrophylla,NA,NA,NA,NA,3,NA,NA,NA
Swietenia mahagoni,NA,NA,NA,NA,3,NA,NA,NA
Syzygium grande,NA,NA,NA,NA,3,NA,NA,NA
Tabebuia rosea,NA,NA,NA,NA,3,NA,NA,NA
Taiwania flousiana,24.6499,NA,3.7621000000000002,NA,3,NA,NA,NA
Tectona grandis,314.1827,127.4981,0.0572,0.014,3,25,57.3408,1.0167
Terminalia amazonia,38.8151,13.7466,1.6222,19.1736,3,25,38.0419,0.8403
Terminalia arjuna,NA,NA,NA,NA,3,NA,NA,NA
Terminalia superba,51.2715,NA,4.7135,NA,3,NA,NA,NA
Thuja plicata,NA,NA,NA,NA,3,NA,NA,NA
Thujopsis dolabrata,NA,NA,NA,NA,3,NA,NA,NA
Tilia cordata,NA,NA,NA,NA,3,NA,NA,NA
Tilia platyphyllos,NA,NA,NA,NA,3,NA,NA,NA
Trema tomentosa,NA,NA,NA,NA,3,NA,NA,NA
Tsoongiodendron odorum,NA,NA,NA,NA,3,NA,NA,NA
Tsuga heterophylla,NA,NA,NA,NA,3,NA,NA,NA
Ulmus pumila,93.9736,22.1731,0.1265,0.0402,3,25,44.3045,0.9787
Virola koschnyi,22.9381,5.8303,5.5934,1344897.8234,3,25,15.1948,0.6269
Vochysia ferruginea,26.6408,NA,17.015,NA,3,25,9.0836,0.3512
Vochysia guatemalensis,42.6735,1.9928,0.4211,0.0817,3,25,11.2244,0.2914
Zenia insignis,NA,NA,NA,NA,3,NA,NA,NA
