grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Cupressus funebris,28.8668,NA,4.7967,NA,2,25,14.6867,0.6336
Cupressus lusitanica,125.4235,NA,3.4787,NA,2,NA,NA,NA
Cyclobalanopsis chungii,NA,NA,NA,NA,2,NA,NA,NA
Dalbergia nigra,NA,NA,NA,NA,2,NA,NA,NA
Dalbergia retusa,NA,NA,NA,NA,2,NA,NA,NA
Dalbergia sissoo,135.9843,61.3123,0.1724,0.0194,2,25,101.008,1.7268
Dipterocarpus turbinatus,NA,NA,NA,NA,2,NA,NA,NA
Dipteryx oleifera,44.7789,9.3084,6.0399,6793857.3803,2,25,22.4715,0.4712
Elaeagnus angustifolia,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus camaldulensis,81.2277,NA,8.6372,NA,2,25,90.1221,1.0468
Eucalyptus citriodora,73.9921,NA,3.9987,NA,2,NA,NA,NA
Eucalyptus cloeziana,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus clone,146.9942,20.2505,0.2002,0.0248,2,25,10.3978,0.3101
Eucalyptus dunnii,135.5019,NA,60.7863,NA,2,NA,NA,NA
Eucalyptus exserta,35.1446,7.8433,0.2459,0.1156,2,25,18.0231,0.8669
Eucalyptus globulus,123.6237,38.3209,0.136,0.034,2,25,22.2589,0.6038
Eucalyptus grandis,176.5115,28.2478,0.1699,0.0383,2,25,42.9595,0.6234
Eucalyptus grandis x urophylla,29.5678,NA,30.1341,NA,2,NA,NA,NA
Eucalyptus nitens,79.3896,NA,24.3738,NA,2,18,34.5232,0.5593
Eucalyptus pellita,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus PF1,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus pilularis,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus robusta,20.7171,2.561,6.6612,23988561.861,2,18,7.4937,0.3722
Eucalyptus saligna,128.0788,24.8957,0.2803,0.0406,2,25,54.808,1.0922
Eucalyptus spp.,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus tereticornis,100.3131,19.0831,0.1855,0.0417,2,25,26.403,0.5411
Eucalyptus urophylla,119.947,28.5905,0.1763,0.0219,2,25,41.2225,0.6439
Eucalyptus urophylla Clone U6,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus urophylla Clone W5,NA,NA,NA,NA,2,NA,NA,NA
Eucalyptus urophylla x grandis,71.0623,12.8548,0.261,0.0643,2,25,17.7115,0.4655
Evodia glabrifolia,22.2995,NA,6.2561,NA,2,25,9.9352,0.4354
Fagus crenata,NA,NA,NA,NA,2,NA,NA,NA
Fagus sylvatica,31.1714,NA,1.3994,NA,2,25,33.2621,1.3935
Fokienia hodginsii,95.1644,25.6411,0.0781,0.0414,2,25,22.0829,0.3077
Fraxinus excelsior,16.7202,NA,3.2837,NA,2,NA,NA,NA
Fraxinus mandschurica,83.1667,NA,7.9044,NA,2,25,12.5003,0.1485
Gmelina arborea,213.2319,13.8046,0.085,0.0141,2,25,24.5367,0.2242
Hieronyma alchorneoides,34.1588,NA,12.1922,NA,2,25,23.3936,0.7409
Jacaranda copaia,20.4615,3.2627,5.0343,166911.1611,2,NA,NA,NA
Kandelia candel,NA,NA,NA,NA,2,NA,NA,NA
Lagerstroemia speciosa,NA,NA,NA,NA,2,NA,NA,NA
Larix decidua,57.7423,NA,4.5282,NA,2,NA,NA,NA
"Larix decidua, L. sukaczewii",48.5801,NA,2.6592,NA,2,25,12.2302,0.2716
Larix eurolepis,NA,NA,NA,NA,2,NA,NA,NA
Larix gmelinii,153.4928,41.1479,0.0297,0.0082,2,25,30.4494,0.7582
Larix gmelinii var. principis-rupprechtii,NA,NA,NA,NA,2,NA,NA,NA
Larix gmelinii var. Principis-rupprechtii,NA,NA,NA,NA,2,NA,NA,NA
Larix kaempferi,55.4842,9.9126,0.0891,0.0219,2,25,16.9903,0.3968
Larix olgensis,NA,NA,NA,NA,2,NA,NA,NA
Larix potaninii,NA,NA,NA,NA,2,NA,NA,NA
Larix sibirica,189.1069,24.1062,0.0298,0.0035,2,25,25.11,0.3114
Leucaena leucocephala,33.3082,10.6485,4.5604,865328.5064,2,25,25.8562,0.6704
Lindera communis,NA,NA,NA,NA,2,NA,NA,NA
Liquidambar styraciflua,NA,NA,NA,NA,2,NA,NA,NA
Liriodendron chinense,34.7311,NA,5.861,NA,2,25,27.8372,1.2331
Maesopsis eminii,NA,NA,NA,NA,2,NA,NA,NA
Metasequoia glyptostroboides,134.0088,36.1999,0.0609,0.0153,2,25,33.9155,0.5715
Michelia macclurei,33.1427,NA,3.1383,NA,2,25,29.4015,0.852
Morus alba,NA,NA,NA,NA,2,NA,NA,NA
Mytilaria laosensis,NA,NA,NA,NA,2,NA,NA,NA
Nothofagus obliqua,NA,NA,NA,NA,2,NA,NA,NA
Ormosia xylocarpa,NA,NA,NA,NA,2,NA,NA,NA
Pachira quinata,NA,NA,NA,NA,2,NA,NA,NA
Paulownia fortunei,25.8755,1.5784,4.3941,669677.2111,2,25,3.2926,0.1273
Paulownia tomentosa,NA,NA,NA,NA,2,NA,NA,NA
Phellodendron chinense,NA,NA,NA,NA,2,NA,NA,NA
Phoebe bournei,NA,NA,NA,NA,2,NA,NA,NA
Phoebe zhennan,NA,NA,NA,NA,2,NA,NA,NA
Phyllanthus emblica,NA,NA,NA,NA,2,NA,NA,NA
Phyllostachys heteroclada,NA,NA,NA,NA,2,NA,NA,NA
Picea abies,64.0677,8.9434,1.1387,4690.1938,2,25,36.4143,0.5334
Picea asperata,22.8778,NA,1.9559,NA,2,25,18.3355,0.8076
Picea crassifolia,NA,NA,NA,NA,2,NA,NA,NA
Picea glauca,NA,NA,NA,NA,2,NA,NA,NA
Picea koraiensis,NA,NA,NA,NA,2,NA,NA,NA
"Picea koraiensis, P. glehnii",101.2827,NA,3.4333,NA,2,NA,NA,NA
Picea likiangensis,NA,NA,NA,NA,2,NA,NA,NA
Picea mariana,NA,NA,NA,NA,2,NA,NA,NA
Picea obovata,136.5524,98.8178,0.0189,0.009,2,25,12.78,1.0178
Picea omorika,NA,NA,NA,NA,2,NA,NA,NA
Picea sitchensis,615.4205,155.4476,0.0171,0.0028,2,25,37.2553,0.7753
Pinus armandii,31.2601,NA,2.74,NA,2,25,11.6881,0.4076
Pinus banksiana,NA,NA,NA,NA,2,NA,NA,NA
Pinus brutia,64.1184,27.1433,-0.0054,0.0301,2,25,2855.9542,204.4483
Pinus caribaea,80.7716,20.4622,2.9001,1730718.8982,2,25,42.1466,0.5137
Pinus contorta,40.7936,NA,5.3771,NA,2,NA,NA,NA
Pinus densiflora,NA,NA,NA,NA,2,NA,NA,NA
Pinus elliottii,133.0861,39.646,0.0564,0.0181,2,25,21.0664,0.4646
Pinus halepensis,18.3301,5.0864,0.0699,0.0186,2,25,8.1335,1.1915
Pinus henryi,NA,NA,NA,NA,2,NA,NA,NA
Pinus kesiya,176.257,18.5209,0.0637,0.0232,2,NA,NA,NA
Pinus koraiensis,120.9136,16.7928,0.0319,0.0038,2,25,16.1447,0.4218
Pinus kwangtungensis,NA,NA,NA,NA,2,NA,NA,NA
Pinus massoniana,33.5087,2.7969,1.7407,222.1664,2,25,21.5303,0.5748
Pinus nigra,105.5424,18.7901,0.0421,0.0079,2,25,22.0776,0.6875
Pinus oocarpa,NA,NA,NA,NA,2,NA,NA,NA
Pinus palustris,NA,NA,NA,NA,2,NA,NA,NA
Pinus patula,123.6706,26.7702,0.0445,0.0106,2,NA,NA,NA
Pinus pinaster,165.3424,133.5502,-0.0259,0.0084,2,NA,NA,NA
Pinus ponderosa,282.79,51.7484,0.0362,0.0101,2,25,37.936,0.4756
Pinus pseudostrobus,NA,NA,NA,NA,2,NA,NA,NA
Pinus radiata,198.9206,33.4702,0.0472,0.0097,2,25,23.5212,0.4948
Pinus resinosa,103.3975,13.3956,0.0589,0.0069,2,25,27.497,0.342
Pinus sibirica,34.7252,9.749,0.0534,0.0202,2,25,16.4364,1.629
Pinus strobus,NA,NA,NA,NA,2,NA,NA,NA
Pinus sylvestris,92.616,4.4031,0.0406,0.0022,2,25,17.2622,0.4286
Pinus sylvestris var. mongolica,41.2155,8.9537,0.0622,0.0143,2,25,5.8628,0.4041
Pinus sylvestris var. sylvestriformis,46.8512,NA,3.7314,NA,2,NA,NA,NA
Pinus tabuliformis,113.1686,24.5211,0.03,0.0051,2,25,14.5632,0.4326
Pinus taeda,200.003,29.9888,0.0505,0.0046,2,25,19.7148,0.4299
Pinus taiwanensis,41.7029,17.4049,0.0963,0.0434,2,25,29.1286,0.8366
Pinus tecunumanii,NA,NA,NA,NA,2,NA,NA,NA
Pinus thunbergii,20.7624,NA,6.6316,NA,2,25,13.5675,0.7714
Platycladus orientalis,13.068,NA,10.9506,NA,2,25,4.3873,0.3232
Populus alba,54.7859,NA,6.4673,NA,2,25,46.2984,0.871
Populus canadensis,NA,NA,NA,NA,2,NA,NA,NA
Populus clone,NA,NA,NA,NA,2,NA,NA,NA
Populus deltoides,137.0829,36.6417,0.139,0.0322,2,NA,NA,NA
Populus euphratica,357.9566,169.4317,0.0512,0.0384,2,NA,NA,NA
Populus hybrid,NA,NA,NA,NA,2,NA,NA,NA
Populus nigra,NA,NA,NA,NA,2,NA,NA,NA
Populus nigra var. thevestina,NA,NA,NA,NA,2,NA,NA,NA
Populus nigra x maximowiczii,NA,NA,NA,NA,2,NA,NA,NA
Populus pruinosa,47.2677,18.1252,0.111,0.0883,2,NA,NA,NA
Populus pseudosimonii,67.216,NA,3.3336,NA,2,25,49.9103,0.6373
Populus simonii,47.5804,11.911,1.1249,50977.3791,2,25,21.4436,0.5074
Populus spp.,73.1345,7.0948,0.1579,0.0301,2,25,19.8908,0.5807
Populus szechuanica var tibetica,NA,NA,NA,NA,2,NA,NA,NA
Populus tomentosa,50.727,9.6954,2.6331,63707403.6608,2,25,13.887,0.2288
Populus tremula var. davidiana,NA,NA,NA,NA,2,NA,NA,NA
Populus trichocarpa,41.0715,8.6478,0.3101,0.1077,2,NA,NA,NA
Populus x beijingensis,21.1821,2.1319,3.8048,88785583.6464,2,NA,NA,NA
Populus x canadensis,490.3244,76.5982,0.0587,0.01,2,25,32.4517,0.5281
Populus x canescens,85.576,NA,12.0162,NA,2,25,65.3288,0.8
Populus x xiaozhuanica,NA,NA,NA,NA,2,NA,NA,NA
Prunus sibirica,NA,NA,NA,NA,2,NA,NA,NA
Pseudolarix amabilis,27.7518,NA,12.8458,NA,2,NA,NA,NA
Pseudotsuga menziesii,286.5873,36.664,0.0291,0.0032,2,25,37.6075,0.4769
Pterocarpus marsupium,NA,NA,NA,NA,2,NA,NA,NA
Pterocarya stenoptera,54.2273,NA,5.3263,NA,2,NA,NA,NA
Quercus acutissima,12.47,NA,5.2143,NA,2,25,7.7907,0.6045
Quercus aliena var. acutiserrata,120.1946,NA,2.6753,NA,2,NA,NA,NA
Quercus cerris,116.5544,NA,1.9322,NA,2,NA,NA,NA
Quercus glauca,NA,NA,NA,NA,2,NA,NA,NA
Quercus petraea,28.5225,NA,6.7271,NA,2,NA,NA,NA
Quercus robur,96.6286,39.2066,0.0164,0.0125,2,25,40.2692,0.9378
Quercus rubra,65.0369,NA,2.8259,NA,2,NA,NA,NA
Quercus serrata,NA,NA,NA,NA,2,NA,NA,NA
Quercus spp.,41.0074,NA,5.3726,NA,2,NA,NA,NA
Quercus variabilis,21.6675,NA,21.4657,NA,2,25,6.9746,0.3388
Robinia pseudoacacia,66.969,10.7738,0.0937,0.0194,2,25,25.6553,0.6774
Sabina przewalskii,NA,NA,NA,NA,2,NA,NA,NA
Salix matsudana,38.713,8.4361,1.2402,110.2693,2,25,12.9383,0.3026
Sassafras tzumu,34.8849,7.9886,1.4985,19874.3684,2,25,21.2114,0.7728
Schima superba,NA,NA,NA,NA,2,NA,NA,NA
Shorea robusta,266.7653,157.7998,0.0387,0.0226,2,NA,NA,NA
Sloanea sinensis,NA,NA,NA,NA,2,NA,NA,NA
Sonneratia apetala,13.3381,4.1255,0.2524,0.1346,2,NA,NA,NA
Sonneratia caseolaris,14.8724,9.3624,5.9986,33409.0398,2,NA,NA,NA
Stryphnodendron microstachyum,NA,NA,NA,NA,2,NA,NA,NA
Swietenia macrophylla,NA,NA,NA,NA,2,NA,NA,NA
Swietenia mahagoni,NA,NA,NA,NA,2,NA,NA,NA
Syzygium grande,NA,NA,NA,NA,2,NA,NA,NA
Tabebuia rosea,NA,NA,NA,NA,2,NA,NA,NA
Taiwania flousiana,24.7447,6.9046,2.3363,279545456.0384,2,NA,NA,NA
Tectona grandis,419.5978,148.2559,0.0309,0.0082,2,25,52.7382,0.9351
Terminalia amazonia,38.6386,13.7204,1.9128,71.1237,2,25,35.2908,0.7795
Terminalia arjuna,NA,NA,NA,NA,2,NA,NA,NA
Terminalia superba,50.9523,NA,4.3328,NA,2,NA,NA,NA
Thuja plicata,NA,NA,NA,NA,2,NA,NA,NA
Thujopsis dolabrata,NA,NA,NA,NA,2,NA,NA,NA
Tilia cordata,NA,NA,NA,NA,2,NA,NA,NA
Tilia platyphyllos,NA,NA,NA,NA,2,NA,NA,NA
Trema tomentosa,NA,NA,NA,NA,2,NA,NA,NA
Tsoongiodendron odorum,NA,NA,NA,NA,2,NA,NA,NA
Tsuga heterophylla,NA,NA,NA,NA,2,NA,NA,NA
Ulmus pumila,134.6818,45.4218,0.0615,0.0217,2,25,38.2799,0.8456
Virola koschnyi,21.9382,NA,8.0913,NA,2,25,15.2789,0.6304
Vochysia ferruginea,26.5797,NA,16.0485,NA,2,25,8.9913,0.3476
Vochysia guatemalensis,42.7933,2.6408,0.3247,0.081,2,25,9.4849,0.2462
Zenia insignis,NA,NA,NA,NA,2,NA,NA,NA
