grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Abies fabri,NA,NA,NA,NA,2,NA,NA,NA
Abies grandis,126.466,NA,5.7518,NA,2,NA,NA,NA
Abies sachalinensis,41.4703,NA,4.5815,NA,2,NA,NA,NA
Acacia auriculiformis,61.1426,10.6788,3.8724,520218160.089,2,25,52.1512,0.8333
Acacia catechu,NA,NA,NA,NA,2,NA,NA,NA
Acacia confusa,NA,NA,NA,NA,2,NA,NA,NA
Acacia crassicarpa,26.7839,9.935,0.313,0.1027,2,25,7.4171,0.5905
Acacia dealbata,NA,NA,NA,NA,2,NA,NA,NA
Acacia farnesiana,NA,NA,NA,NA,2,NA,NA,NA
Acacia mangium,85.5179,10.2535,0.2542,0.0285,2,25,24.4677,0.4022
Acacia mearnsii,36.8999,9.0262,0.3618,0.0924,2,25,15.7949,0.5273
Acacia nilotica,67.4682,19.4256,0.3838,0,2,NA,NA,NA
Acacia polystachya,NA,NA,NA,NA,2,NA,NA,NA
Aegiceras corniculatum,NA,NA,NA,NA,2,NA,NA,NA
Ailanthus triphysa,NA,NA,NA,NA,2,NA,NA,NA
Albizia falcata,119.7686,5.1138,0.1991,0.006,2,25,20.8062,0.308
Albizia guachapele,NA,NA,NA,NA,2,NA,NA,NA
Albizia procera,NA,NA,NA,NA,2,NA,NA,NA
Alnus cremastogyne,42.5025,2.696,0.1964,0.0352,2,18,9.9165,0.4341
Alnus formosana,NA,NA,NA,NA,2,NA,NA,NA
Alnus glutinosa,45.2398,NA,5.1905,NA,2,25,29.8093,0.6023
Alnus incana,72.2663,9.0602,0.0836,0.0111,2,NA,NA,NA
Alnus japonica,45.1734,NA,3.0275,NA,2,25,16.4994,0.3928
Alnus nepalensis,NA,NA,NA,NA,2,NA,NA,NA
Alnus rubra,NA,NA,NA,NA,2,NA,NA,NA
Anacardium excelsum,NA,NA,NA,NA,2,NA,NA,NA
Araucaria cunninghamii,63.0376,NA,4.7709,NA,2,NA,NA,NA
Artocarpus heterophyllus,NA,NA,NA,NA,2,NA,NA,NA
Artocarpus hirsutus,NA,NA,NA,NA,2,NA,NA,NA
Balizia elegans,NA,NA,NA,NA,2,NA,NA,NA
Betula alba,NA,NA,NA,NA,2,NA,NA,NA
Betula alnoides,NA,NA,NA,NA,2,NA,NA,NA
"Betula pendula, B. pubescens",46.9462,NA,3.4978,NA,2,25,22.1018,0.4053
Bischofia javanica,NA,NA,NA,NA,2,NA,NA,NA
Butea monosperma,NA,NA,NA,NA,2,NA,NA,NA
Calophyllum brasiliense,72.7545,1.1502,0.1927,0.0209,2,25,12.7365,0.2162
Camellia oleifera,NA,NA,NA,NA,2,NA,NA,NA
Castanea sativa,67.8971,8.6715,0.0447,0.0068,2,NA,NA,NA
Castanopsis fissa,279.6877,53.8812,0.0473,0.0074,2,NA,NA,NA
Castanopsis hystrix,41.346,2.7181,0.1018,0.0337,2,NA,NA,NA
Castanopsis kawakamii,113.6179,NA,3.7854,NA,2,NA,NA,NA
Castanopsis sclerophylla,NA,NA,NA,NA,2,NA,NA,NA
Casuarina equisetifolia,69.665,23.8543,0.1561,0.0949,2,25,16.3229,0.5941
Cedrela odorata,NA,NA,NA,NA,2,NA,NA,NA
Cedrus libani,NA,NA,NA,NA,2,NA,NA,NA
Chamaecyparis lawsoniana,NA,NA,NA,NA,2,NA,NA,NA
Chamaecyparis obtusa,121.291,7.8793,0.0449,0.0067,2,25,24.8161,0.3264
Chukrasia tabularis,NA,NA,NA,NA,2,NA,NA,NA
Cinnamomum bodinieri,NA,NA,NA,NA,2,NA,NA,NA
Cinnamomum camphora,51.6251,NA,2.8868,NA,2,NA,NA,NA
Cordia alliodora,NA,NA,NA,NA,2,NA,NA,NA
Corymbia citriodora,NA,NA,NA,NA,2,NA,NA,NA
Corymbia maculata,NA,NA,NA,NA,2,NA,NA,NA
Corymbia torelliana,NA,NA,NA,NA,2,NA,NA,NA
Cryptomeria fortunei,36.7837,NA,6.4241,NA,2,NA,NA,NA
Cryptomeria japonica,153.4347,16.6863,0.0449,0.0047,2,25,31.852,0.4395
Cunninghamia konishii,NA,NA,NA,NA,2,NA,NA,NA
Cunninghamia lanceolata,116.8771,12.0032,0.043,0.0032,2,25,32.7124,0.7601
Cupressus arizonica,NA,NA,NA,NA,2,NA,NA,NA
